ncc/000000.jpg
('score = ', 'ncc/000000.jpg', 'ncc/000000.jpg', 45433865.475738525, 443.69009253650904)
('score = ', 'ncc/000000.jpg', 'ncc/000001.jpg', 52500769.35290527, 512.7028257119656)
('score = ', 'ncc/000000.jpg', 'ncc/000002.jpg', 53332559.132629395, 520.825772779584)
('score = ', 'ncc/000000.jpg', 'ncc/000003.jpg', 29035938.73942566, 283.5540892522037)
('score = ', 'ncc/000000.jpg', 'ncc/000004.jpg', 38807445.07476807, 378.9789558082819)
('score = ', 'ncc/000000.jpg', 'ncc/000005.jpg', 32338878.402313232, 315.8093593975902)
('score = ', 'ncc/000000.jpg', 'ncc/000006.jpg', 28787340.7003479, 281.126374026835)
('score = ', 'ncc/000000.jpg', 'ncc/000007.jpg', 24942118.60057068, 243.57537695869803)
('score = ', 'ncc/000000.jpg', 'ncc/000008.jpg', 41343683.45776367, 403.7469087672234)
('score = ', 'ncc/000000.jpg', 'ncc/000009.jpg', 29558806.236862183, 288.66021715685724)
ncc/000001.jpg
('score = ', 'ncc/000001.jpg', 'ncc/000000.jpg', 50644114.795166016, 494.5714335465431)
('score = ', 'ncc/000001.jpg', 'ncc/000001.jpg', 66299186.7880249, 647.4529959768057)
('score = ', 'ncc/000001.jpg', 'ncc/000002.jpg', 66921882.87286377, 653.5340124303102)
('score = ', 'ncc/000001.jpg', 'ncc/000003.jpg', 35511298.28399658, 346.79002230465414)
('score = ', 'ncc/000001.jpg', 'ncc/000004.jpg', 50383757.68560791, 492.02888364851475)
('score = ', 'ncc/000001.jpg', 'ncc/000005.jpg', 38474566.964538574, 375.72819301307203)
('score = ', 'ncc/000001.jpg', 'ncc/000006.jpg', 35675390.62371826, 348.39248655974865)
('score = ', 'ncc/000001.jpg', 'ncc/000007.jpg', 31742444.427978516, 309.9848088669777)
('score = ', 'ncc/000001.jpg', 'ncc/000008.jpg', 51459780.06072998, 502.5369146555662)
('score = ', 'ncc/000001.jpg', 'ncc/000009.jpg', 38171917.4392395, 372.77263124257325)
ncc/000002.jpg
('score = ', 'ncc/000002.jpg', 'ncc/000000.jpg', 45705191.45643616, 446.33976031675934)
('score = ', 'ncc/000002.jpg', 'ncc/000001.jpg', 60379105.29786682, 589.6397001744807)
('score = ', 'ncc/000002.jpg', 'ncc/000002.jpg', 61986957.65626526, 605.3413833619654)
('score = ', 'ncc/000002.jpg', 'ncc/000003.jpg', 32041552.133918762, 312.9057825578004)
('score = ', 'ncc/000002.jpg', 'ncc/000004.jpg', 44799178.19319153, 437.491974542886)
('score = ', 'ncc/000002.jpg', 'ncc/000005.jpg', 34602162.88442993, 337.91174691826103)
('score = ', 'ncc/000002.jpg', 'ncc/000006.jpg', 32352685.266784668, 315.944192058444)
('score = ', 'ncc/000002.jpg', 'ncc/000007.jpg', 28893290.97679138, 282.1610446952283)
('score = ', 'ncc/000002.jpg', 'ncc/000008.jpg', 46915055.16647339, 458.1548356100917)
