ncc/000000.jpg
('score = ', 'ncc/000000.jpg', 'ncc/000000.jpg', 399.9995976090431, 0.9999989940226078)
('score = ', 'ncc/000000.jpg', 'ncc/000001.jpg', 310.9052764773369, 0.7772631911933422)
('score = ', 'ncc/000000.jpg', 'ncc/000002.jpg', 310.8343921005726, 0.7770859802514315)
('score = ', 'ncc/000000.jpg', 'ncc/000003.jpg', 308.8149516582489, 0.7720373791456222)
('score = ', 'ncc/000000.jpg', 'ncc/000004.jpg', 312.4668583869934, 0.7811671459674835)
('score = ', 'ncc/000000.jpg', 'ncc/000005.jpg', 308.4796580672264, 0.771199145168066)
('score = ', 'ncc/000000.jpg', 'ncc/000006.jpg', 311.56640923023224, 0.7789160230755806)
('score = ', 'ncc/000000.jpg', 'ncc/000007.jpg', 310.45814234018326, 0.7761453558504582)
('score = ', 'ncc/000000.jpg', 'ncc/000008.jpg', 308.5704171359539, 0.7714260428398848)
('score = ', 'ncc/000000.jpg', 'ncc/000009.jpg', 305.73906245827675, 0.7643476561456919)
ncc/000001.jpg
('score = ', 'ncc/000001.jpg', 'ncc/000000.jpg', 340.88615649938583, 0.8522153912484646)
('score = ', 'ncc/000001.jpg', 'ncc/000001.jpg', 399.99943685531616, 0.9999985921382905)
('score = ', 'ncc/000001.jpg', 'ncc/000002.jpg', 362.2490154504776, 0.905622538626194)
('score = ', 'ncc/000001.jpg', 'ncc/000003.jpg', 347.5890322625637, 0.8689725806564093)
('score = ', 'ncc/000001.jpg', 'ncc/000004.jpg', 347.9893691241741, 0.8699734228104353)
('score = ', 'ncc/000001.jpg', 'ncc/000005.jpg', 342.1799796819687, 0.8554499492049217)
('score = ', 'ncc/000001.jpg', 'ncc/000006.jpg', 348.4155649840832, 0.8710389124602079)
('score = ', 'ncc/000001.jpg', 'ncc/000007.jpg', 348.77818554639816, 0.8719454638659954)
('score = ', 'ncc/000001.jpg', 'ncc/000008.jpg', 345.2003910243511, 0.8630009775608778)
('score = ', 'ncc/000001.jpg', 'ncc/000009.jpg', 344.86442172527313, 0.8621610543131828)
ncc/000002.jpg
('score = ', 'ncc/000002.jpg', 'ncc/000000.jpg', 337.5865217447281, 0.8439663043618202)
('score = ', 'ncc/000002.jpg', 'ncc/000001.jpg', 359.5951052904129, 0.8989877632260322)
('score = ', 'ncc/000002.jpg', 'ncc/000002.jpg', 399.9988150000572, 0.999997037500143)
('score = ', 'ncc/000002.jpg', 'ncc/000003.jpg', 344.09746837615967, 0.8602436709403992)
('score = ', 'ncc/000002.jpg', 'ncc/000004.jpg', 344.36024594306946, 0.8609006148576737)
('score = ', 'ncc/000002.jpg', 'ncc/000005.jpg', 339.0555437207222, 0.8476388593018055)
('score = ', 'ncc/000002.jpg', 'ncc/000006.jpg', 346.292267203331, 0.8657306680083274)
('score = ', 'ncc/000002.jpg', 'ncc/000007.jpg', 345.3025623559952, 0.863256405889988)
('score = ', 'ncc/000002.jpg', 'ncc/000008.jpg', 341.79529970884323, 0.8544882492721081)
('score = ', 'ncc/000002.jpg', 'ncc/000009.jpg', 342.7724267244339, 0.8569310668110848)
ncc/000003.jpg
('score = ', 'ncc/000003.jpg', 'ncc/000000.jpg', 338.6413843035698, 0.8466034607589245)
('score = ', 'ncc/000003.jpg', 'ncc/000001.jpg', 348.14148554205894, 0.8703537138551474)
('score = ', 'ncc/000003.jpg', 'ncc/000002.jpg', 347.73916441202164, 0.869347911030054)
('score = ', 'ncc/000003.jpg', 'ncc/000003.jpg', 399.9970717430115, 0.9999926793575287)
('score = ', 'ncc/000003.jpg', 'ncc/000004.jpg', 347.67478108406067, 0.8691869527101517)
('score = ', 'ncc/000003.jpg', 'ncc/000005.jpg', 340.043864607811, 0.8501096615195274)
('score = ', 'ncc/000003.jpg', 'ncc/000006.jpg', 347.77821546792984, 0.8694455386698245)
('score = ', 'ncc/000003.jpg', 'ncc/000007.jpg', 350.78058779239655, 0.8769514694809913)
('score = ', 'ncc/000003.jpg', 'ncc/000008.jpg', 346.5140396952629, 0.8662850992381572)
('score = ', 'ncc/000003.jpg', 'ncc/000009.jpg', 344.8594860434532, 0.862148715108633)
ncc/000004.jpg
