ncc/000000.jpg
('score = ', 'ncc/000000.jpg', 'ncc/000000.jpg', 399.99995958805084, 0.9999998989701271)
('score = ', 'ncc/000000.jpg', 'ncc/000001.jpg', 377.38895267248154, 0.9434723816812038)
('score = ', 'ncc/000000.jpg', 'ncc/000002.jpg', 377.8118477463722, 0.9445296193659306)
('score = ', 'ncc/000000.jpg', 'ncc/000003.jpg', 376.3794724345207, 0.9409486810863018)
('score = ', 'ncc/000000.jpg', 'ncc/000004.jpg', 378.00490415096283, 0.945012260377407)
('score = ', 'ncc/000000.jpg', 'ncc/000005.jpg', 377.24787479639053, 0.9431196869909764)
('score = ', 'ncc/000000.jpg', 'ncc/000006.jpg', 377.7850190401077, 0.9444625476002693)
('score = ', 'ncc/000000.jpg', 'ncc/000007.jpg', 375.639985203743, 0.9390999630093575)
('score = ', 'ncc/000000.jpg', 'ncc/000008.jpg', 375.9119662642479, 0.9397799156606197)
('score = ', 'ncc/000000.jpg', 'ncc/000009.jpg', 373.5040065050125, 0.9337600162625312)
ncc/000001.jpg
('score = ', 'ncc/000001.jpg', 'ncc/000000.jpg', 378.87703716754913, 0.9471925929188728)
('score = ', 'ncc/000001.jpg', 'ncc/000001.jpg', 388.9999594092369, 0.9724998985230923)
('score = ', 'ncc/000001.jpg', 'ncc/000002.jpg', 383.1586159467697, 0.9578965398669242)
('score = ', 'ncc/000001.jpg', 'ncc/000003.jpg', 379.90170907974243, 0.9497542726993561)
('score = ', 'ncc/000001.jpg', 'ncc/000004.jpg', 380.1269865632057, 0.9503174664080143)
('score = ', 'ncc/000001.jpg', 'ncc/000005.jpg', 379.27362579107285, 0.9481840644776821)
('score = ', 'ncc/000001.jpg', 'ncc/000006.jpg', 380.26372081041336, 0.9506593020260334)
('score = ', 'ncc/000001.jpg', 'ncc/000007.jpg', 379.37203150987625, 0.9484300787746907)
('score = ', 'ncc/000001.jpg', 'ncc/000008.jpg', 379.214274764061, 0.9480356869101524)
('score = ', 'ncc/000001.jpg', 'ncc/000009.jpg', 378.264657497406, 0.945661643743515)
ncc/000002.jpg
('score = ', 'ncc/000002.jpg', 'ncc/000000.jpg', 382.1130299568176, 0.955282574892044)
('score = ', 'ncc/000002.jpg', 'ncc/000001.jpg', 386.0633640885353, 0.9651584102213383)
('score = ', 'ncc/000002.jpg', 'ncc/000002.jpg', 392.9999577999115, 0.9824998944997787)
('score = ', 'ncc/000002.jpg', 'ncc/000003.jpg', 382.42686384916306, 0.9560671596229077)
('score = ', 'ncc/000002.jpg', 'ncc/000004.jpg', 383.0213903784752, 0.957553475946188)
('score = ', 'ncc/000002.jpg', 'ncc/000005.jpg', 382.05430030822754, 0.9551357507705689)
('score = ', 'ncc/000002.jpg', 'ncc/000006.jpg', 383.5113795995712, 0.9587784489989281)
('score = ', 'ncc/000002.jpg', 'ncc/000007.jpg', 381.61274564266205, 0.9540318641066551)
('score = ', 'ncc/000002.jpg', 'ncc/000008.jpg', 382.24301785230637, 0.9556075446307659)
('score = ', 'ncc/000002.jpg', 'ncc/000009.jpg', 380.99730080366135, 0.9524932520091534)
ncc/000003.jpg
('score = ', 'ncc/000003.jpg', 'ncc/000000.jpg', 394.5713247060776, 0.986428311765194)
('score = ', 'ncc/000003.jpg', 'ncc/000001.jpg', 395.68403792381287, 0.9892100948095321)
('score = ', 'ncc/000003.jpg', 'ncc/000002.jpg', 395.62575620412827, 0.9890643905103207)
('score = ', 'ncc/000003.jpg', 'ncc/000003.jpg', 399.9999688863754, 0.9999999222159386)
('score = ', 'ncc/000003.jpg', 'ncc/000004.jpg', 395.53860890865326, 0.9888465222716332)
('score = ', 'ncc/000003.jpg', 'ncc/000005.jpg', 395.0804588198662, 0.9877011470496655)
('score = ', 'ncc/000003.jpg', 'ncc/000006.jpg', 395.5449948310852, 0.988862487077713)
('score = ', 'ncc/000003.jpg', 'ncc/000007.jpg', 395.6747425198555, 0.9891868562996388)
('score = ', 'ncc/000003.jpg', 'ncc/000008.jpg', 395.43938916921616, 0.9885984729230404)
('score = ', 'ncc/000003.jpg', 'ncc/000009.jpg', 394.7410395145416, 0.9868525987863541)
ncc/000004.jpg
('score = ', 'ncc/000004.jpg', 'ncc/000000.jpg', 390.9702523946762, 0.9774256309866906)
('score = ', 'ncc/000004.jpg', 'ncc/000001.jpg', 391.700437605381, 0.9792510940134526)
('score = ', 'ncc/000004.jpg', 'ncc/000002.jpg', 392.0724244713783, 0.9801810611784458)
('score = ', 'ncc/000004.jpg', 'ncc/000003.jpg', 391.32658499479294, 0.9783164624869823)
('score = ', 'ncc/000004.jpg', 'ncc/000004.jpg', 399.9999371767044, 0.999999842941761)
('score = ', 'ncc/000004.jpg', 'ncc/000005.jpg', 390.96147871017456, 0.9774036967754364)
('score = ', 'ncc/000004.jpg', 'ncc/000006.jpg', 391.92861181497574, 0.9798215295374394)
('score = ', 'ncc/000004.jpg', 'ncc/000007.jpg', 391.07145738601685, 0.9776786434650421)
('score = ', 'ncc/000004.jpg', 'ncc/000008.jpg', 391.41213351488113, 0.9785303337872029)
('score = ', 'ncc/000004.jpg', 'ncc/000009.jpg', 389.1405376791954, 0.9728513441979885)
ncc/000005.jpg
('score = ', 'ncc/000005.jpg', 'ncc/000000.jpg', 387.5526759028435, 0.9688816897571086)
('score = ', 'ncc/000005.jpg', 'ncc/000001.jpg', 388.2291374206543, 0.9705728435516358)
('score = ', 'ncc/000005.jpg', 'ncc/000002.jpg', 388.31030040979385, 0.9707757510244847)
('score = ', 'ncc/000005.jpg', 'ncc/000003.jpg', 387.8572272658348, 0.969643068164587)
('score = ', 'ncc/000005.jpg', 'ncc/000004.jpg', 388.691248357296, 0.97172812089324)
('score = ', 'ncc/000005.jpg', 'ncc/000005.jpg', 399.9999665617943, 0.9999999164044857)
('score = ', 'ncc/000005.jpg', 'ncc/000006.jpg', 388.5043587088585, 0.9712608967721462)
('score = ', 'ncc/000005.jpg', 'ncc/000007.jpg', 388.4148690700531, 0.9710371726751328)
('score = ', 'ncc/000005.jpg', 'ncc/000008.jpg', 387.6328477859497, 0.9690821194648742)
('score = ', 'ncc/000005.jpg', 'ncc/000009.jpg', 386.56314635276794, 0.9664078658819198)
ncc/000006.jpg
('score = ', 'ncc/000006.jpg', 'ncc/000000.jpg', 388.3104481101036, 0.9707761202752591)
('score = ', 'ncc/000006.jpg', 'ncc/000001.jpg', 389.47308498620987, 0.9736827124655246)
('score = ', 'ncc/000006.jpg', 'ncc/000002.jpg', 389.43209397792816, 0.9735802349448204)
('score = ', 'ncc/000006.jpg', 'ncc/000003.jpg', 388.9013682603836, 0.972253420650959)
('score = ', 'ncc/000006.jpg', 'ncc/000004.jpg', 389.61883968114853, 0.9740470992028714)
('score = ', 'ncc/000006.jpg', 'ncc/000005.jpg', 388.8299770951271, 0.9720749427378178)
('score = ', 'ncc/000006.jpg', 'ncc/000006.jpg', 399.99997186660767, 0.9999999296665192)
('score = ', 'ncc/000006.jpg', 'ncc/000007.jpg', 388.7075033187866, 0.9717687582969665)
('score = ', 'ncc/000006.jpg', 'ncc/000008.jpg', 388.4247111082077, 0.9710617777705193)
('score = ', 'ncc/000006.jpg', 'ncc/000009.jpg', 387.4502557516098, 0.9686256393790245)
ncc/000007.jpg
('score = ', 'ncc/000007.jpg', 'ncc/000000.jpg', 394.84580343961716, 0.9871145085990429)
('score = ', 'ncc/000007.jpg', 'ncc/000001.jpg', 396.1359868645668, 0.990339967161417)
('score = ', 'ncc/000007.jpg', 'ncc/000002.jpg', 396.00006276369095, 0.9900001569092274)
